0,1,1,2221
1,1,1,2211
2,1,1,1958
3,1,1,1914
4,1,1,2023
5,1,1,1932
6,1,1,2184
7,1,1,2184
8,1,1,2155
9,1,1,2076
0,2,1,2471
1,2,1,2114
2,2,1,2093
3,2,1,1969
4,2,1,2188
5,2,1,2136
6,2,1,2092
7,2,1,2162
8,2,1,2054
9,2,1,2242
0,1,2,1014
1,1,2,961
2,1,2,893
3,1,2,893
4,1,2,818
5,1,2,831
6,1,2,866
7,1,2,879
8,1,2,836
9,1,2,849
0,2,2,923
1,2,2,962
2,2,2,836
3,2,2,838
4,2,2,817
5,2,2,904
6,2,2,864
7,2,2,874
8,2,2,875
9,2,2,909
0,3,2,973
1,3,2,899
2,3,2,874
3,3,2,847
4,3,2,805
5,3,2,826
6,3,2,816
7,3,2,840
8,3,2,854
9,3,2,918
0,1,3,680
1,1,3,682
2,1,3,639
3,1,3,625
4,1,3,626
5,1,3,685
6,1,3,677
7,1,3,643
8,1,3,658
9,1,3,653
0,2,3,705
1,2,3,649
2,2,3,637
3,2,3,579
4,2,3,604
5,2,3,609
6,2,3,619
7,2,3,674
8,2,3,613
9,2,3,601
0,3,3,732
1,3,3,686
2,3,3,675
3,3,3,682
4,3,3,699
5,3,3,727
6,3,3,713
7,3,3,686
8,3,3,765
9,3,3,769
0,4,3,672
1,4,3,595
2,4,3,588
3,4,3,604
4,4,3,593
5,4,3,611
6,4,3,606
7,4,3,591
8,4,3,569
9,4,3,570
0,1,4,584
1,1,4,501
2,1,4,490
3,1,4,462
4,1,4,447
5,1,4,467
6,1,4,478
7,1,4,484
8,1,4,460
9,1,4,505
0,2,4,523
1,2,4,489
2,2,4,511
3,2,4,504
4,2,4,453
5,2,4,444
6,2,4,453
7,2,4,466
8,2,4,481
9,2,4,475
0,3,4,610
1,3,4,540
2,3,4,481
3,3,4,479
4,3,4,526
5,3,4,543
6,3,4,543
7,3,4,510
8,3,4,511
9,3,4,531
0,4,4,545
1,4,4,493
2,4,4,456
3,4,4,454
4,4,4,494
5,4,4,475
6,4,4,551
7,4,4,512
8,4,4,496
9,4,4,470
0,5,4,591
1,5,4,507
2,5,4,510
3,5,4,478
4,5,4,489
5,5,4,492
6,5,4,494
7,5,4,511
8,5,4,488
9,5,4,509
0,1,5,435
1,1,5,433
2,1,5,410
3,1,5,406
4,1,5,420
5,1,5,394
6,1,5,402
7,1,5,396
8,1,5,426
9,1,5,421
0,2,5,479
1,2,5,447
2,2,5,393
3,2,5,392
4,2,5,394
5,2,5,428
6,2,5,423
7,2,5,403
8,2,5,399
9,2,5,425
0,3,5,534
1,3,5,436
2,3,5,415
3,3,5,442
4,3,5,430
5,3,5,446
6,3,5,424
7,3,5,455
8,3,5,431
9,3,5,446
0,4,5,491
1,4,5,443
2,4,5,408
3,4,5,407
4,4,5,378
5,4,5,378
6,4,5,384
7,4,5,376
8,4,5,415
9,4,5,416
0,5,5,481
1,5,5,435
2,5,5,415
3,5,5,388
4,5,5,415
5,5,5,395
6,5,5,437
7,5,5,449
8,5,5,406
9,5,5,404
0,6,5,461
1,6,5,407
2,6,5,388
3,6,5,392
4,6,5,415
5,6,5,477
6,6,5,426
7,6,5,430
8,6,5,412
9,6,5,404
0,1,6,408
1,1,6,355
2,1,6,356
3,1,6,338
4,1,6,346
5,1,6,329
6,1,6,352
7,1,6,362
8,1,6,330
9,1,6,347
0,2,6,351
1,2,6,374
2,2,6,330
3,2,6,326
4,2,6,336
5,2,6,331
6,2,6,348
